,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,ring-type,spore-print-color,population,habitat
48,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,1,0,4
49,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4
50,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,1
51,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
52,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
55,1,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,2
56,3,2,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2,1
57,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,1
58,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
59,0,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,4,4
60,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
61,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
62,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
63,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
64,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
65,3,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2,1
66,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
67,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,1,0,1
68,0,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1
69,0,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0
70,3,2,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,3
71,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
72,3,2,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
73,0,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,4
74,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
75,3,0,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,3
76,0,0,2,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,2,3,3
77,3,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,1,4,4
78,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0
79,3,1,0,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,1,4,1
80,0,0,0,1,3,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1
81,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
82,3,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0
83,0,2,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
84,0,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,1
85,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
86,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
87,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
88,3,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,1
89,2,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
90,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0
91,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
92,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
93,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2
94,0,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1,1,2,1
95,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
96,3,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,1,0,1
97,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
98,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
99,0,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
100,0,2,0,1,3,0,1,1,3,1,0,1,0,0,0,0,0,1,0,0,1
101,1,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
102,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,1,0,1
103,0,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,4,4
104,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1
105,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2
106,0,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,1,4,1
107,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
108,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
109,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2
110,0,0,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1
111,2,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
112,0,2,2,0,1,0,1,0,4,1,2,0,0,0,0,0,0,0,2,3,3
113,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2
114,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0
115,0,1,1,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,1,0,1
116,2,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0
117,0,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,1
118,0,0,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,2,3,3
119,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
120,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
121,0,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
122,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1
123,3,0,3,1,3,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2,1
124,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
125,0,0,2,1,3,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1
126,1,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,1
127,3,2,3,1,3,0,1,1,5,1,0,0,0,0,0,0,0,1,1,2,1
128,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
129,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2
130,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
131,1,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,2
132,3,0,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,2,3,3
133,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2
134,3,0,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,3
135,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0
136,3,2,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
137,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
138,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,1
139,1,0,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,1
140,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,4
141,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2
142,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
143,3,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,4
144,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
145,0,2,3,1,3,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1
146,3,2,2,1,3,0,1,1,0,1,0,0,1,0,0,0,0,1,1,2,1
147,0,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,2
148,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
149,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2
150,0,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
151,0,0,0,1,3,0,1,1,3,1,0,1,0,0,0,0,0,1,1,2,1
152,0,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
153,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
154,0,0,2,0,1,0,1,0,4,1,2,0,0,0,0,0,0,0,2,3,3
155,0,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,1
156,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
157,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
158,1,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
159,1,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
160,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2
161,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1
162,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
163,3,1,0,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,1,4,1
164,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
165,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,1,4,4
166,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
167,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,2
168,0,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,1
169,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
170,0,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0
171,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
172,0,2,1,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,2,3,3
173,1,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
174,3,1,1,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,1,0,1
175,1,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,2
176,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2
177,1,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
178,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
179,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1
180,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0
181,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0
182,3,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0
183,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
184,3,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,4
185,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,1,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
187,3,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
188,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1
189,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,1,4,4
190,0,2,2,1,3,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,1
191,0,0,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
192,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,2
193,3,0,1,0,1,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
194,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
195,3,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,4,0
196,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
197,0,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
198,0,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2
199,3,0,2,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,3,3
200,0,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
201,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
202,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1
203,0,2,2,1,3,0,1,1,5,1,0,1,0,0,0,0,0,1,0,0,1
204,3,1,0,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,4,4
205,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
206,1,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
207,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
208,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
209,1,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1
210,0,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
211,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,2
212,0,2,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,1,3,3
213,0,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0
214,3,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,1,0,1
215,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2
216,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
217,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
218,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
219,2,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0
220,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2
221,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
222,0,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,1,0,1
223,3,2,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,3
224,0,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2
225,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
226,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,1
227,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,1
228,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
229,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
230,0,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0
231,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,1,4,4
233,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
234,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
235,0,2,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
236,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
237,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
238,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,1
239,3,1,1,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,4
240,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,4
241,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
242,0,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,2
243,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
244,3,2,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,2,3,3
245,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1
246,0,0,2,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,2,3,3
247,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
248,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,4,4
249,0,0,0,1,3,0,1,1,3,1,0,1,0,0,0,0,0,1,0,0,1
250,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,1,4,1
251,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1
252,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3,0
253,1,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,1,0,2
254,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
255,1,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
256,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
257,0,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,2
258,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1
259,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
260,3,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,1,0,1
261,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
262,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1
263,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,2
264,3,2,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,2,3,3
265,3,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0
266,3,0,3,1,3,0,1,1,3,1,0,0,0,0,0,0,0,1,0,2,1
267,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,0,2
268,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
269,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2
271,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0
272,0,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
273,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
274,3,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,1,0,4
275,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,1,0,4
276,3,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,1,4,1
277,0,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,1,1,2
278,3,2,0,1,3,0,1,1,5,1,0,0,0,0,0,0,0,1,0,0,1
279,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
280,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1
281,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,2
282,2,2,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0
283,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
284,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2
285,3,1,0,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,1
286,1,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2
287,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
288,0,1,0,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,1,4,4
289,3,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0
290,0,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
291,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
292,0,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2
293,1,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
294,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2
295,1,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
296,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
297,0,2,3,1,3,0,1,1,3,1,0,1,1,0,0,0,0,1,0,0,1
298,3,0,1,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,1,3,3
299,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
300,0,2,2,1,3,0,1,1,0,1,0,1,0,0,0,0,0,1,0,2,1
301,1,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
302,0,0,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,1,3,3
303,1,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
304,0,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1
305,0,2,0,0,3,0,0,1,3,1,2,0,0,1,1,0,0,0,1,4,3
306,1,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2
307,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,2
308,3,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,4,1
309,0,2,2,1,3,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1
310,0,0,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1
311,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1
